Data;INSOLACAO;PRECIPITACAO;TEMPMAXIMA;TEMPMEDIA;TEMPMIN;UMIDADE
01/01/1990;0;15.5;27.2;22.24;20.2;88
02/01/1990;0;35.9;23.4;21.2;19.6;89.75
03/01/1990;0;16.3;21.2;20.1;17.8;89
04/01/1990;0;5.2;23.2;19.58;17.2;92.5
05/01/1990;0;11.9;26.8;21.62;17.2;86.25
06/01/1990;0;9.4;27.7;22.98;19.3;85.5
07/01/1990;1;15.7;30;23.64;19.8;78.5
08/01/1990;1;5.9;27.7;24.06;20.8;70
09/01/1990;0;0;24.4;21.98;20.8;86.5
10/01/1990;0;9.3;27.3;22.54;19.8;79.75
11/01/1990;1;4.7;27.3;23.74;20.6;72.75
12/01/1990;1;2.7;30.6;24.84;20.4;72.25
13/01/1990;1;10.7;31.3;25.28;20.1;68.25
14/01/1990;0;0;32.4;26.16;22;64.75
15/01/1990;1;0.9;31.3;24.38;21.2;82.25
16/01/1990;1;0.3;31.9;25.16;19.3;64.5
17/01/1990;1;0.1;32.5;26.66;21.3;59
18/01/1990;0;0.1;32.6;26.68;23.9;66.5
19/01/1990;1;0.3;27;22.92;21.2;80
20/01/1990;1;0.3;31;24.92;20;63.75
21/01/1990;0;0;30;23.32;20.4;86.75
22/01/1990;0;26.7;31;21.64;17.2;80.75
23/01/1990;0;76.9;29.2;22.92;17.8;77.75
24/01/1990;1;0;31;25.92;20.2;59.25
25/01/1990;1;0;32.6;25.32;20.4;71.25
26/01/1990;1;2.2;29.6;24.52;21.2;70.5
27/01/1990;0;0;29.6;24.32;21.2;73.5
28/01/1990;0;0;30.4;24.4;20;67.75
29/01/1990;0;0;32;25.36;19.8;61
30/01/1990;1;0;32.8;26.2;20;59.75
31/01/1990;1;0;33.2;25.36;19.8;60
01/02/1990;1;0;30.4;23.64;19.8;77.5
02/02/1990;0;9.2;29.7;23.54;21.9;58
03/02/1990;1;0;29.3;23.34;19.4;67
04/02/1990;0;0;30.1;22.58;18.2;72.75
05/02/1990;1;0;29;22.8;18.4;65.75
06/02/1990;0;0;29;22.64;19;78.25
07/02/1990;1;5;30.6;23.84;18.2;50.25
08/02/1990;0;0;31.6;24.8;20.6;65.25
09/02/1990;0;2.2;30.8;25.32;20.8;65.75
10/02/1990;1;0;29;23.04;19;88.25
11/02/1990;1;33.3;30.6;23.52;19.4;76.75
12/02/1990;1;3.2;30.6;23.58;20;80.75
13/02/1990;0;5;29.2;23.58;21.1;79.75
14/02/1990;1;16.1;28.3;23.5;20.7;79.5
15/02/1990;1;7.3;29.3;23.5;20.5;81.75
16/02/1990;1;21;30.2;24.08;18.9;71
17/02/1990;1;0;29.9;24.08;20.7;66.75
18/02/1990;1;0;30.1;23.1;19.3;71.25
19/02/1990;1;0;25.2;21.48;20;71.75
20/02/1990;0;0;27.3;21.46;17.2;73.75
21/02/1990;0;0;30.4;24.36;18.4;61.25
22/02/1990;0;0;31;22.8;18.5;83.25
23/02/1990;1;27.4;23.6;21.28;19;86.25
24/02/1990;1;8.6;28.4;22.72;20;73.25
25/02/1990;0;4.4;24.8;21.64;19;70
26/02/1990;1;0.1;27.6;23.6;19.7;70.25
27/02/1990;0;0;26.4;21.98;20;78
28/02/1990;1;10;21.6;20.52;19.3;88.75
01/03/1990;1;7.6;29.4;22.96;18;73.75
02/03/1990;0;0;30.6;22.52;19;78.75
03/03/1990;1;7.6;28.4;22.32;18;78.25
04/03/1990;1;0;30.4;22.5;19.3;78
05/03/1990;0;22.2;30.6;24.4;17.4;67.25
06/03/1990;0;14.1;28.2;22.04;18.2;77.25
07/03/1990;1;3.3;27.6;22.72;18.8;79
08/03/1990;1;0;29.2;22.92;19.4;80.5
09/03/1990;1;11;29.4;23.08;19.6;76.25
10/03/1990;1;0.1;30;23;19;74.75
11/03/1990;0;20.6;30.3;22.9;19.4;80.5
12/03/1990;0;12.5;30.8;24.56;19.4;70
13/03/1990;1;0;32;25.24;21;72.5
14/03/1990;1;12.1;32.6;25.84;20.6;63
15/03/1990;1;0;31.4;26.64;22.2;69
16/03/1990;0;0;31;25.4;22.8;72.25
17/03/1990;1;0.3;29.4;24.2;21.4;76.25
18/03/1990;1;0;30.6;24.32;21;72
19/03/1990;0;46.5;23.8;21.56;19.4;88
20/03/1990;0;7.3;23;20.98;19.9;86.25
21/03/1990;1;1.7;25.4;21.64;20;88.25
22/03/1990;1;47.9;24.8;21.2;20;88.25
23/03/1990;0;6.6;23.4;20.76;18.4;90.5
24/03/1990;1;6;26.8;22.78;19.4;77.5
25/03/1990;0;0;27.4;22.56;20;77.75
26/03/1990;0;0;27.4;22.32;19.4;85
27/03/1990;0;1.4;25;22.68;20.4;75.25
28/03/1990;1;0;29.6;23.28;19.8;76.25
29/03/1990;1;0;31.2;24.52;20;77.25
30/03/1990;0;0;30.8;24.04;21;73.25
31/03/1990;0;0;31.4;23.34;19.1;69
02/04/1990;0;0;30;24.82;18.9;59.75
03/04/1990;0;0;28;22.6;20;82.25
04/04/1990;0;0;30.6;24.18;19.3;75.5
05/04/1990;1;0;31.2;25.2;21.4;66.5
06/04/1990;1;0;31.4;25.56;20.3;67.5
07/04/1990;0;0;29.6;24.04;21;79.5
08/04/1990;1;0;30.6;24.72;20;75.25
09/04/1990;1;0;30.5;24.06;21.1;73.25
10/04/1990;1;0;27.7;22.18;19;73
11/04/1990;1;0;27.2;20.72;16.2;75.75
12/04/1990;1;0;27.2;21.56;17.5;72.25
13/04/1990;1;0;29.2;23.76;20.5;65.75
14/04/1990;0;0;29.5;23.1;20.5;69.5
15/04/1990;0;0;29.6;23.34;20;74
16/04/1990;1;0.6;28.2;23.54;20.3;69
17/04/1990;1;0;26.2;21.52;19.6;78.75
18/04/1990;1;0.9;20.8;17.96;16.2;89.75
19/04/1990;0;43.3;18.7;17.14;15;93.5
20/04/1990;1;8;23.6;20;17.9;84
21/04/1990;1;8;25.4;21.2;17.8;82
22/04/1990;0;0;29;23.24;18.8;73.25
23/04/1990;1;0;30;23.88;18.3;72
24/04/1990;0;0;29.3;23.74;18.9;66
25/04/1990;1;0;29.6;24.06;18.9;68.5
26/04/1990;1;0;28.6;23.66;18.5;64.75
27/04/1990;0;0;29.8;24.52;19.4;60.75
28/04/1990;1;0;29.2;23.74;19.3;61.75
29/04/1990;0;0;28.6;24.8;20.8;62.75
30/04/1990;0;16.3;24.8;18.76;16;90.75
01/05/1990;1;0.2;20;16.86;15;81
02/05/1990;0;16.8;21;17.04;14;82.75
03/05/1990;1;0;22.4;18.02;15.1;79.75
04/05/1990;1;0;22.4;17.7;14.9;78
05/05/1990;0;0;21.9;17.78;15;81.25
06/05/1990;0;0;23.3;18.68;16.5;85.5
07/05/1990;1;4.5;26.1;19.02;14.6;80.25
08/05/1990;1;0;24.4;18.88;15.4;77
09/05/1990;0;0;24.2;19.44;16.1;78.5
10/05/1990;1;0;26.8;21.2;16.5;67.75
11/05/1990;0;0.5;21.9;19.32;18.4;86.5
12/05/1990;1;19.4;18.6;16.1;15.1;82
13/05/1990;0;0;20.4;16.6;14.6;81
14/05/1990;0;0;24.5;18.18;14.3;83.75
15/05/1990;0;0;23;19.02;15.7;85.25
16/05/1990;1;4.7;19.5;17.88;17;90.5
17/05/1990;0;0.8;24.5;18.78;16.2;81.75
18/05/1990;1;5.9;16.9;12.16;10.8;65
19/05/1990;0;0;17.3;11.34;5.4;73
20/05/1990;0;0;19.9;14.36;9.8;76.75
21/05/1990;1;0;21.2;15.92;11.1;60.5
22/05/1990;1;0;16.7;11.26;9.4;70
23/05/1990;1;0;18.5;11.7;5.8;75
24/05/1990;0;0;22.4;15.32;9.5;82.75
25/05/1990;1;0;25.2;17.8;11;66
26/05/1990;0;0;24.8;17.96;12.2;68.25
27/05/1990;1;0;25.6;19;13;61.25
28/05/1990;1;0;27;19.58;14.5;73.5
29/05/1990;1;0;26.2;19.9;15.1;69.25
30/05/1990;0;0;27.2;21.48;15.4;59.75
31/05/1990;0;0;26.8;21.4;16.9;63.25
01/06/1990;1;0;26;20.7;16.7;68
02/06/1990;0;0;25.4;19.82;17.3;77.25
03/06/1990;0;0;24.1;19.06;15;76
04/06/1990;0;0;26.2;20.52;15.6;63.5
05/06/1990;0;0;26.1;20.98;15.5;58
06/06/1990;0;0;24.8;20.64;19;74.5
07/06/1990;0;19.4;19.1;15.3;13.9;90.75
08/06/1990;1;0;25;19.24;13.8;82
09/06/1990;0;0;26;20.82;15.1;64
10/06/1990;0;0;23.6;19.2;17;72.75
11/06/1990;0;0;18.2;12.8;10.7;81.5
12/06/1990;1;0;19.2;13.62;9.5;81
13/06/1990;1;0;21.4;15.14;10.8;76.5
14/06/1990;1;0;23.2;16.1;12.2;76.75
15/06/1990;0;10.4;20.4;15.68;13;81.75
16/06/1990;1;0;16.7;13.24;12;84.5
17/06/1990;1;0;17.7;12.76;10.3;76.5
18/06/1990;1;0;18.8;14.12;10.8;83.75
19/06/1990;1;0;24.6;16.72;10.8;71.75
20/06/1990;0;0;24.2;18.36;12;59
21/06/1990;0;9.2;15.7;12.52;11.3;62.75
22/06/1990;1;0;16.4;11.64;8;57.75
23/06/1990;0;0;20.2;13.2;7;56.5
24/06/1990;1;0;24;15.36;7;60.5
25/06/1990;1;0;24.6;16.94;9.9;57.5
26/06/1990;0;0.2;20;15.64;13.2;80.75
27/06/1990;0;0;20.6;15.64;13;79
28/06/1990;0;0;21.8;15.84;13.4;81.5
29/06/1990;1;0;16.6;14.08;11.8;88.5
30/06/1990;1;0;20.4;15.24;11.8;83.25
02/07/1990;0;0;22.8;16.8;13;80.25
03/07/1990;1;0;25.2;17.96;14.8;78.5
04/07/1990;0;0;26.2;17.88;13.6;79
05/07/1990;0;15.3;22.4;16.86;13.9;74.75
06/07/1990;0;2.1;21.4;15.6;11.2;80.75
07/07/1990;0;0;21.2;16.4;13.6;83.25
09/07/1990;1;0;24.4;17.8;12.4;64.75
10/07/1990;1;0.3;19.4;15.96;14;84.75
11/07/1990;1;4.3;14.8;12.28;10.4;80
12/07/1990;0;0;16.8;13.08;9.4;75.5
13/07/1990;1;1.1;18.4;13.36;9.2;76.75
14/07/1990;0;0;19.8;14.08;11;81.25
16/07/1990;0;0;15.6;14.08;11;94.25
17/07/1990;0;27.6;22.2;17.96;13.4;81.5
18/07/1990;0;3;23.6;18.8;14.8;82
19/07/1990;0;6.4;25;17.52;14;79.5
20/07/1990;1;16;16.6;13.84;12.8;94.5
21/07/1990;1;0.1;13;10.6;9.2;89.75
23/07/1990;0;0;14.2;11.84;9;95.5
24/07/1990;0;8.4;22.6;17.24;9.8;85.75
25/07/1990;0;4.8;21.2;16.84;15.2;90.5
26/07/1990;1;5.8;22.6;17.8;14;88.5
27/07/1990;0;8;24.4;14.68;10.4;92.25
28/07/1990;1;12.2;14.2;8.24;6.2;73.25
30/07/1990;1;0;13.8;8.24;2.8;73.25
31/07/1990;1;0;13.4;9;5;70.25
01/08/1990;1;0;15;11;7;76.25
02/08/1990;0;0;20.4;13.44;9;80
03/08/1990;0;0;22.4;15.24;11.2;66.5
04/08/1990;1;0;22.6;15.92;11;59.5
05/08/1990;1;0;18.6;14.2;10;84.5
06/08/1990;1;0;20.6;14.8;11.4;69.25
07/08/1990;0;0;22.2;15.76;10.6;70.75
08/08/1990;1;0;24.2;15.76;10.4;77.5
09/08/1990;0;0;26.2;18.32;12;66.25
10/08/1990;1;0.2;18.6;14.04;12;82
11/08/1990;0;0;22.4;15.12;10.4;79.5
12/08/1990;0;0;26;17.84;12.6;61.5
13/08/1990;1;0;26.8;17.84;12;70
14/08/1990;1;0;26.8;19.44;12.8;56
15/08/1990;1;0;26.8;20.32;13.6;47.25
16/08/1990;1;0;25.2;18.64;13;70
17/08/1990;1;7.4;18.4;15.6;14.6;91.75
18/08/1990;1;0.2;18.4;16.2;14.2;92.5
19/08/1990;0;0;26.4;19.12;15.2;83.5
20/08/1990;0;31;25.4;19.88;17.4;79.75
21/08/1990;0;1.6;18;15.08;14;87.5
22/08/1990;0;0;14.4;12.76;11.4;88
23/08/1990;1;0.1;13.6;11.96;10.4;86.75
24/08/1990;1;0.2;15.6;12.88;10.8;77.5
25/08/1990;1;0;22;15.88;11;74.25
26/08/1990;0;0;25.4;18.2;11.6;67.25
27/08/1990;1;0;22;17.8;11;75
28/08/1990;1;7.1;19.6;14.36;11.4;87
29/08/1990;0;1.8;12.5;9.94;8;83.5
30/08/1990;1;0;22;15;9;83.25
31/08/1990;0;0;25.2;18.56;12;72.5
01/09/1990;1;0;24.2;18.68;13.8;85.25
02/09/1990;1;10.4;18.2;14.2;12.8;87.75
03/09/1990;0;0;16;14.12;12.2;83.5
04/09/1990;1;0;19;15.88;13.4;82
05/09/1990;1;1;22.8;17.68;15;82
06/09/1990;0;0;23;15.28;14.8;69.75
07/09/1990;0;0;21.6;17.52;15.2;88.25
08/09/1990;1;14.2;21.8;19.56;16.6;77.5
09/09/1990;1;0;23.8;17.44;14.8;74.25
10/09/1990;0;0;26.4;18.08;11.8;61.75
11/09/1990;1;0;30;21.56;12.2;44.25
12/09/1990;0;0;31.4;20.12;12.4;65.5
13/09/1990;0;23;18;12.64;10.2;91.75
14/09/1990;1;38.4;10.8;9.6;9;90.75
15/09/1990;1;0;14.2;10.24;8;74.75
16/09/1990;0;0;22;13.72;8;69.75
17/09/1990;0;0;24;15.72;9.4;72.75
18/09/1990;0;0;28.2;19.92;9.8;47.75
19/09/1990;0;0;31.4;23.12;10;44.5
20/09/1990;0;0;31;22.16;10.2;46.25
21/09/1990;0;0;29.4;21.16;10.4;63.25
22/09/1990;1;0;30;21.92;16.8;60.25
23/09/1990;0;1.7;22;17.36;14.8;82.25
24/09/1990;1;6.3;15;11.92;10.6;79.75
25/09/1990;0;0.1;14.6;11.44;9.8;77
26/09/1990;0;0;20.6;13.72;8.4;72
27/09/1990;1;0;22.6;16;12.4;70.25
28/09/1990;1;0;24.6;17.24;12.4;71.75
29/09/1990;0;0;21;16.64;12.6;78
30/09/1990;0;1;20;17.52;16;78.5
01/10/1990;1;1.4;20;18.28;16;83.75
02/10/1990;0;0.9;26.2;20.96;17.2;77
03/10/1990;0;0;22;18.84;17.4;86.25
04/10/1990;0;0;27.6;20.76;17.4;76.75
05/10/1990;1;5.4;29.2;21.68;15.6;67.75
06/10/1990;0;0;29.6;22.48;16.8;63.5
07/10/1990;1;0;28.6;21.84;16.2;66
08/10/1990;0;0;30.6;24.2;17.4;52.5
09/10/1990;1;0;32.2;25.32;19.2;49
10/10/1990;1;0;33.4;27.16;19.2;47
11/10/1990;1;0;33.4;26.04;20.4;55.5
12/10/1990;0;14;31.4;23.92;20;68.25
13/10/1990;1;7.8;26;21.4;19.4;82.5
14/10/1990;0;0;31.2;25.08;18.8;70.5
15/10/1990;1;15.5;26.4;19.52;17;91.5
16/10/1990;1;12.6;17.4;14.8;13.2;92.75
17/10/1990;1;23.8;17;15.04;12.8;92.75
18/10/1990;0;0.1;22.4;18;13.6;76.5
19/10/1990;1;14.8;23.8;20;17;94
20/10/1990;0;13;26.2;20.2;17.4;82.75
21/10/1990;1;0;20.6;16.88;15.2;84
22/10/1990;0;0.1;19.8;15.92;13.6;70.25
23/10/1990;1;0;26.6;20.4;13.6;59.25
24/10/1990;1;0;22.2;18.56;16.2;86.25
25/10/1990;1;1;22;18.88;16.8;77
26/10/1990;0;0;25.8;19.08;14;71.25
27/10/1990;0;0;26.4;19.76;16;70.75
28/10/1990;1;0;29.8;21.4;17;68.75
29/10/1990;0;0;31;24.44;16.6;53.75
30/10/1990;0;0;31.6;25.12;20.2;59.75
31/10/1990;1;7.2;31.4;25.8;22.2;60.75
01/11/1990;1;0;31.4;25.2;22.2;60.25
02/11/1990;1;1.5;26.4;21.96;19.4;82
03/11/1990;1;0;31.6;24;19.4;74
04/11/1990;1;0.4;31.2;24.28;21.2;74.5
05/11/1990;1;6.7;22;18.24;16.4;90.5
06/11/1990;1;2.1;18;16.84;15;89.25
07/11/1990;0;1.6;25.8;21.52;16.6;81.5
08/11/1990;1;30;26.2;22;19.4;86.5
09/11/1990;0;1.2;29.6;23.76;20.4;79.25
10/11/1990;0;3.7;29.6;22.2;18.4;83.25
11/11/1990;0;7.4;31.2;22.8;17.6;72.25
12/11/1990;1;0.5;31.4;23.36;20.4;77.25
13/11/1990;1;0;31;24.76;19.4;75
14/11/1990;1;0;33.6;26.12;20;61
15/11/1990;1;0;33.8;27.36;20.4;51.25
16/11/1990;0;0;33;24.04;19.4;63.5
17/11/1990;0;0;26.8;22.48;20;77
18/11/1990;0;0;30.6;23.88;19.8;67
19/11/1990;1;12;30.6;24.52;20.4;70.5
20/11/1990;0;0;30.6;24.52;20.2;73.25
21/11/1990;0;0;31.4;24.36;19.6;66.25
22/11/1990;0;4;29;23.12;19.6;78.5
23/11/1990;0;0;28.2;21.68;18.2;82.5
24/11/1990;0;4.4;26.8;21.72;18.8;83.75
25/11/1990;1;0.5;27.2;21.6;18;77
26/11/1990;1;0;30.2;24.36;18.2;57.5
27/11/1990;1;0;26.8;22.6;20.4;74
28/11/1990;1;0;24.8;19.68;17;73.75
29/11/1990;0;0;26.4;20.08;15.6;72.5
30/11/1990;1;0;30.2;22.24;16.6;67.75
01/12/1990;1;0;31.6;23.64;17;65
02/12/1990;1;0;31.6;24.12;19.8;72.5
03/12/1990;1;0;30.2;23.4;19.6;68.75
04/12/1990;0;0;24.2;21.48;19.6;78
05/12/1990;0;0;29.6;23.46;19.9;78.5
06/12/1990;0;0;32.2;23.76;19.2;73
07/12/1990;0;22.8;26.8;22.12;20;80
08/12/1990;0;7.4;22.4;18.44;16.8;83
09/12/1990;1;0;21.6;18.68;16.4;80.75
10/12/1990;1;0.2;26.5;22.54;17.4;79
11/12/1990;0;3.1;26.8;23.42;20.2;79.5
12/12/1990;0;0.2;28.6;21.96;19.6;86
13/12/1990;1;17.6;25.4;22.52;19.2;85.5
14/12/1990;0;16.4;23;17.64;15.4;96
15/12/1990;1;19.6;22.2;18.2;14.8;90.5
16/12/1990;1;0;28;21.32;17.2;76
17/12/1990;0;0;28.1;21.88;16.7;77.25
18/12/1990;0;0;31;25.64;18.8;58
19/12/1990;1;0;31.2;23.8;20.4;70.75
20/12/1990;0;14.2;28.2;21.88;19.2;81.5
21/12/1990;0;0;29.8;22.64;18.8;76.5
22/12/1990;0;0;31.6;23.56;18.2;66
23/12/1990;1;0;31.8;23.96;17.2;50.5
24/12/1990;0;0;29;22.96;18.6;79
25/12/1990;1;0;28.8;22.08;19.4;79.75
26/12/1990;0;7.4;26.6;21.28;17.4;70.75
27/12/1990;1;0;27.4;21.4;17.8;72
28/12/1990;1;0;31.2;24;17;55.25
29/12/1990;1;13.2;24;16.8;14;81.25
30/12/1990;1;2.6;23;17.28;12.8;73.25
31/12/1990;0;0;24.8;20.44;17.8;65.5
01/01/1991;0;0;26.8;20.12;16.2;73.5
02/01/1991;0;2;28.8;21.88;16.6;69.5
03/01/1991;1;0;28.2;21.44;17.6;80.75
04/01/1991;0;11.6;22.4;19.4;18.2;87
05/01/1991;1;14.4;25.6;20.24;16.2;75
06/01/1991;0;0.1;25.8;20.6;17.2;76.75
07/01/1991;1;0;26.6;21.24;17.6;76.25
08/01/1991;1;0;29.4;22.56;19;72.75
09/01/1991;1;0;29.8;22.74;19.3;77.75
10/01/1991;1;0;30;23.72;19.4;76.75
11/01/1991;0;0;27.6;22.92;20.8;84.75
12/01/1991;0;22;23;20.3;19.1;81.75
13/01/1991;1;0;30.6;22.04;16.2;77
14/01/1991;0;0;28.8;23.4;20.4;89.5
15/01/1991;0;9.4;25.2;22.32;20.8;90.25
16/01/1991;1;106.4;28;23.14;19.9;82.25
17/01/1991;1;2.2;22.8;18.84;17;91.75
18/01/1991;1;6.6;22.4;18.74;16.5;80.5
19/01/1991;1;0;26.6;20.68;17;78
20/01/1991;0;0;27.2;22.36;19;74.75
21/01/1991;0;0;30.6;24.92;18.2;64.75
22/01/1991;1;0;31;25.32;22;75.5
23/01/1991;1;1;29.8;24.16;21.4;76.25
24/01/1991;1;0;28.2;22.64;19.6;73.75
25/01/1991;1;0;28.8;23.16;20;74.75
26/01/1991;1;23;22.8;19.2;17.8;94.5
27/01/1991;1;51;22.2;19.64;17.4;86.75
28/01/1991;0;14.2;28.4;22.88;18.8;78.75
29/01/1991;0;0;29.4;24.36;20.6;70
30/01/1991;0;6.4;28.2;24.28;20.6;72
31/01/1991;0;0.4;27.6;22.64;20;82
01/02/1991;1;9.8;25.2;22.6;21;86.75
02/02/1991;0;16.4;27.6;21.68;18.2;84.25
03/02/1991;0;52.6;27.8;20.84;18.2;86.75
04/02/1991;0;24;31;22.84;18.2;77.25
05/02/1991;0;5.2;28.2;21.88;19.2;79.75
06/02/1991;1;15.7;28;21.68;18.8;84.75
07/02/1991;0;39.1;26.8;21.88;19.4;90.75
08/02/1991;0;8.6;24.4;22.16;19.8;85.25
09/02/1991;0;18.6;25.2;21.72;19.4;91
10/02/1991;0;13.2;26.8;23.12;19.4;82.25
11/02/1991;1;0;28.8;22.44;19.6;81.5
12/02/1991;1;76.2;28.8;23.48;19.2;77.5
13/02/1991;1;8;27.4;22.12;19.4;75.25
14/02/1991;1;0;29.6;22.66;17.6;71.25
15/02/1991;0;0;25.2;21.68;19.6;84
16/02/1991;1;0;25.2;21.44;20;83.75
17/02/1991;0;0;28.8;22.84;19.2;79.75
18/02/1991;1;15.4;25;19.72;17.4;94
19/02/1991;0;37.5;26.5;20.66;17;74.25
20/02/1991;1;0;27;20.56;16.4;73
21/02/1991;0;0;26.8;21.24;17;77.5
22/02/1991;1;0;30.4;24.48;18.4;70.25
23/02/1991;1;0;25.4;20.72;18;77.5
24/02/1991;0;0.1;23.2;18.64;16;67
25/02/1991;1;0;25;19.88;16.2;75
26/02/1991;0;0;28.8;22.08;18;70.25
27/02/1991;0;0;30.4;23.2;17.4;71
28/02/1991;0;17.6;30.2;23.6;19;68
01/03/1991;0;0.1;28.8;23.76;20;68.25
02/03/1991;0;4.8;25.2;22.12;20.1;88.25
03/03/1991;1;12.6;25.5;22.14;19.6;88.5
04/03/1991;1;3;25.8;21.2;19;87
05/03/1991;1;83.1;23.4;20.68;19;89.75
06/03/1991;0;9.5;24.4;21.76;19.2;84
07/03/1991;0;17.2;24.6;21.08;17;86.25
08/03/1991;1;8;30;23.16;19.4;74.25
09/03/1991;1;0;30;22.64;19.4;77
10/03/1991;1;15.4;30.8;23.64;19.2;73
11/03/1991;1;0;28.8;22.04;19;90.5
12/03/1991;0;18.3;28.8;22.88;18.2;79.5
13/03/1991;0;0;28.4;23.12;21;80.75
14/03/1991;1;16.5;24.6;21.12;20;86.5
15/03/1991;0;1.3;25.4;20.46;18.4;72.5
16/03/1991;1;0;25.4;19.84;15.8;70
17/03/1991;1;0;26.4;20.72;16.4;77.25
18/03/1991;1;9.2;28.8;23.24;17.6;72.75
19/03/1991;1;30.2;24.8;21.44;20;93.5
20/03/1991;1;20.2;30.1;23.06;18.8;81.75
21/03/1991;1;1;27;22.24;20.4;91.25
22/03/1991;0;49.4;22.4;20;18.8;89.5
23/03/1991;1;1.7;23.6;19.96;17.8;87
24/03/1991;0;0.5;23;20.6;18;89.25
25/03/1991;0;1;25.8;22;20;88.5
26/03/1991;1;32;21.4;18.84;17.8;89
27/03/1991;0;26.6;18;16.2;15;96
28/03/1991;1;42.2;17.6;16.56;15.4;95.5
29/03/1991;1;35.4;20;17.72;16;93.5
30/03/1991;1;9.8;20.4;19.16;17.6;92.5
31/03/1991;1;2.3;24.8;21.14;18;88
01/04/1991;0;12.4;27.8;21.88;18;76.5
02/04/1991;0;0;24.2;19.92;18;80.25
03/04/1991;1;0;26.4;20.12;16;77.25
04/04/1991;0;0;27.4;20.76;17.8;84.5
05/04/1991;1;4.6;19.2;17.28;16.4;82.75
06/04/1991;1;0;24.6;18.04;13.8;75.25
07/04/1991;1;0;27;20.96;16;78.75
08/04/1991;1;0;26.4;21.64;17.8;82.5
09/04/1991;0;0;25.4;21.28;19.2;81.5
10/04/1991;0;0;28.6;22;18;79.5
11/04/1991;1;0;30.2;23.28;18.8;76.5
12/04/1991;0;0;29.8;23.84;20.4;75
13/04/1991;0;0;23.2;21.72;20;77.5
14/04/1991;0;0.1;28.8;23.64;19.8;71.75
15/04/1991;1;0;29.4;22.72;19.4;80
16/04/1991;0;16.6;29.4;22.44;20;84.25
17/04/1991;1;12.8;29;23.92;18.6;68.75
18/04/1991;0;0;27;23.2;20.2;80.5
19/04/1991;0;11.3;22.4;19.48;18.2;85
20/04/1991;0;1;18.6;15.56;14;81.25
21/04/1991;0;0;20;17.4;14.4;74.75
22/04/1991;0;0;25;18.68;15;76.75
23/04/1991;0;0;26.2;18.76;13.6;85.75
24/04/1991;0;0;26.4;20.48;15;69.5
25/04/1991;0;77.9;21.6;18.2;15.4;89
26/04/1991;1;14;21;18.08;15.4;94
27/04/1991;0;13.8;22.2;19.2;15.4;70
28/04/1991;1;2;23.2;18.08;14.6;77.5
29/04/1991;1;0;21.4;17.48;14.8;90.5
30/04/1991;0;2.5;23.2;18.36;14.8;83.5
01/05/1991;1;2.2;23.8;19.16;15;76
02/05/1991;0;0;26.2;19.34;14.9;76.75
03/05/1991;1;0;25.4;19.64;15.2;78
04/05/1991;0;0;25.2;19.3;15.1;71.5
05/05/1991;0;0;26.4;20.42;15.4;75
06/05/1991;0;0;20;17.2;16.2;88.25
07/05/1991;1;10;16.6;15.72;14.2;95.75
08/05/1991;0;10;17;15.96;15.2;86.75
09/05/1991;0;0;20.8;16.16;13;81.75
10/05/1991;0;0;21.6;16.84;14.4;77.5
11/05/1991;0;0;21.4;17.32;15.4;78.5
12/05/1991;0;0;22.2;17.44;14.2;78.75
13/05/1991;0;0;21.8;18.2;14.6;76.25
14/05/1991;1;0;23.2;19.2;15.2;77.25
15/05/1991;0;6;20.2;17.64;15.4;82.75
16/05/1991;0;0.8;22.4;17.72;15.2;75.5
17/05/1991;0;0;21.8;18;14.8;75.25
18/05/1991;1;0;23.4;18.32;15.8;78.75
19/05/1991;0;0;24.2;19.28;16.2;80
20/05/1991;0;0;25;20.16;16.4;78.5
21/05/1991;1;1;25;19.88;15.8;71.75
22/05/1991;0;0;26.4;20.88;14.4;67.25
23/05/1991;0;4.2;22.4;18.16;16.6;72.5
24/05/1991;1;0;22.4;17.6;14.8;80.75
25/05/1991;0;0;25.9;18.46;12;72
26/05/1991;1;0;24;18.32;12.8;77.25
27/05/1991;1;0;26.6;20.8;13.2;56.25
28/05/1991;0;0;26;20.24;15;62.25
29/05/1991;0;0;25.8;19.96;15.2;65.75
30/05/1991;0;0;23.8;18.56;14.2;69.75
31/05/1991;0;0;25.2;18.94;13.3;66.5
01/06/1991;0;0;25.2;18.46;13.3;58.75
02/06/1991;0;0;25;18.16;11.6;64.5
03/06/1991;1;0;25.6;19.2;13.8;65
04/06/1991;1;0;26.2;19.36;14;69.5
05/06/1991;1;0;26.4;20;14.4;59
06/06/1991;0;0;26;20.22;16.9;64.75
07/06/1991;0;0;19.6;16.56;12;83.5
08/06/1991;1;3;18.2;16.2;15.4;86
09/06/1991;1;1.3;17.6;15.16;14.4;87.5
10/06/1991;1;0;19.4;15.16;12.6;72.5
11/06/1991;1;0;21.2;15.84;11.8;77.5
12/06/1991;1;0;21.8;15.56;11.6;77.25
13/06/1991;1;0;20;15.24;12;80.75
14/06/1991;0;0;23.2;16.64;12;83
15/06/1991;1;0;23.8;17.42;12.1;71.75
16/06/1991;1;0;24.6;19.36;14.2;62.5
17/06/1991;1;0;25.6;19.04;13;66
18/06/1991;1;0;27.2;20.56;15;64.25
19/06/1991;1;0;25.6;20.36;15.2;62.75
20/06/1991;1;0;28.2;22.8;17;60
21/06/1991;0;7.7;23.7;17.78;15.6;90.5
